num,date,time,T1,T2,T3,T4,T5,T6,T7,T8
190,03/06/2021,13:13:09,30,28.9,29.3,30.3,28.9,25.5,0,0
191,03/06/2021,13:14:09,29.8,28.8,29.2,30.3,28.8,25.1,0,0
192,03/06/2021,13:15:09,30,29,29.3,30.4,28.9,25.6,0,0
193,03/06/2021,13:16:09,30.2,29.2,29.5,30.4,29,25.6,0,0
194,03/06/2021,13:17:09,30.2,29.2,29.6,30.7,29.1,25.6,0,0
195,03/06/2021,13:18:09,30.4,29.4,29.8,30.9,29.3,25.7,0,0
196,03/06/2021,13:19:09,30.5,29.5,29.9,31.2,29.4,25.6,0,0
197,03/06/2021,13:20:09,30.6,29.6,30,31.2,29.5,25.6,0,0
198,03/06/2021,13:21:09,30.5,29.4,29.8,30.8,29.3,25.6,0,0
199,03/06/2021,13:22:09,30.4,29.4,29.8,31.1,29.4,25.6,0,0
200,03/06/2021,13:23:09,30.5,29.5,29.9,31.2,29.5,25.6,0,0
201,03/06/2021,13:24:09,30.6,29.5,29.9,31.2,29.5,25.6,0,0
202,03/06/2021,13:25:09,30.6,29.5,30,31.2,29.5,25.6,0,0
203,03/06/2021,13:26:09,30.5,29.5,30,31.2,29.5,25.6,0,0
204,03/06/2021,13:27:09,30.5,29.5,29.9,31.2,29.6,25.6,0,0
205,03/06/2021,13:28:09,30.7,29.7,30,31.3,29.6,25.7,0,0
206,03/06/2021,13:29:09,30.6,29.5,30,31.2,29.5,25.6,0,0
207,03/06/2021,13:30:09,30.6,29.5,30,31.2,29.5,25.6,0,0
208,03/06/2021,13:31:09,30.5,29.5,29.9,31.2,29.5,25.6,0,0
209,03/06/2021,13:32:09,30.4,29.4,29.8,30.8,29.3,25.5,0,0
210,03/06/2021,13:33:09,30.2,29.3,29.6,30.5,29.1,25.5,0,0
211,03/06/2021,13:34:09,30.3,29.3,29.7,30.6,29.1,25.7,0,0
212,03/06/2021,13:35:09,30.3,29.3,29.6,30.6,29.1,25.6,0,0
213,03/06/2021,13:36:09,30.3,29.3,29.6,30.6,29.2,25.6,0,0
214,03/06/2021,13:37:09,30.3,29.2,29.6,30.6,29.1,25.6,0,0
215,03/06/2021,13:38:09,30.3,29.3,29.6,30.5,29.1,25.6,0,0
216,03/06/2021,13:39:09,30.3,29.3,29.6,30.6,29.1,25.6,0,0
217,03/06/2021,13:40:09,30.2,29.2,29.6,30.5,29.2,25.6,0,0
218,03/06/2021,13:41:09,30.3,29.3,29.6,30.5,29.1,25.6,0,0
219,03/06/2021,13:42:09,30.2,29.2,29.6,30.5,29,25.6,0,0
220,03/06/2021,13:43:09,30.3,29.2,29.6,30.5,29,25.6,0,0
221,03/06/2021,13:44:09,30.2,29.2,29.6,30.5,29,25.6,0,0
222,03/06/2021,13:45:09,30.2,29.2,29.5,30.4,29,25.6,0,0
223,03/06/2021,13:46:09,30.3,29.2,29.6,30.5,29.1,25.6,0,0
224,03/06/2021,13:47:09,30.2,29.2,29.5,30.5,29,25.6,0,0
225,03/06/2021,13:48:09,30.2,29.2,29.5,30.5,29,25.6,0,0
226,03/06/2021,13:49:09,30.2,29.2,29.5,30.5,29,25.5,0,0
227,03/06/2021,13:50:09,30.2,29.2,29.5,30.4,29,25.5,0,0
228,03/06/2021,13:51:09,30.2,29.2,29.5,30.5,29,25.6,0,0
229,03/06/2021,13:52:09,30.2,29.2,29.6,30.4,28.9,25.5,0,0
230,03/06/2021,13:53:09,30.2,29.2,29.5,30.5,29,25.5,0,0
231,03/06/2021,13:54:09,30.2,29.2,29.5,30.5,29,25.5,0,0
232,03/06/2021,13:55:09,30.2,29.2,29.5,30.4,29,25.5,0,0
233,03/06/2021,13:56:09,30.2,29.2,29.5,30.5,29,25.6,0,0
234,03/06/2021,13:57:09,30.2,29.2,29.5,30.5,29,25.5,0,0
235,03/06/2021,13:58:09,30.3,29.3,29.6,30.8,29.1,25.5,0,0
236,03/06/2021,13:59:09,30.4,29.4,29.8,31.1,29.4,25.5,0,0
237,03/06/2021,14:00:09,30.5,29.5,29.9,31.2,29.5,25.6,0,0
238,03/06/2021,14:01:09,30.7,29.6,30.1,31.3,29.7,25.6,0,0
239,03/06/2021,14:02:09,30.5,29.5,29.9,31.3,29.5,25.5,0,0
240,03/06/2021,14:03:09,30.7,29.6,30,31.2,29.6,25.5,0,0
241,03/06/2021,14:04:09,30.4,29.3,29.7,30.6,29.2,25.5,0,0
242,03/06/2021,14:05:09,30.2,29.2,29.5,30.5,29,25.5,0,0
243,03/06/2021,14:06:09,30.2,29.2,29.5,30.4,28.9,25.5,0,0
244,03/06/2021,14:07:09,30.6,29.6,30,31.4,29.5,25.6,0,0
245,03/06/2021,14:08:09,30.6,29.5,29.9,31.2,29.5,25.5,0,0
246,03/06/2021,14:09:09,30.6,29.6,30,31.3,29.6,25.6,0,0
247,03/06/2021,14:10:09,30.7,29.7,30.1,31.4,29.7,25.6,0,0
248,03/06/2021,14:11:09,30.7,29.6,30.1,31.3,29.6,25.6,0,0
249,03/06/2021,14:12:09,30.7,29.7,30.1,31.6,29.7,25.6,0,0
250,03/06/2021,14:13:09,30.7,29.7,30,31.3,29.6,25.6,0,0
251,03/06/2021,14:14:09,30.6,29.6,30,31.2,29.5,25.5,0,0
252,03/06/2021,14:15:09,30.6,29.6,30,31.2,29.5,25.5,0,0
253,03/06/2021,14:16:09,30.6,29.6,30,31.3,29.6,25.5,0,0
254,03/06/2021,14:17:09,30.6,29.5,29.9,31.2,29.5,25.5,0,0
255,03/06/2021,14:18:09,30.6,29.6,30,31.4,29.6,25.5,0,0
256,03/06/2021,14:19:09,30.6,29.6,30,31.3,29.6,25.5,0,0
257,03/06/2021,14:20:09,30.6,29.5,30,31.1,29.5,25.5,0,0
258,03/06/2021,14:21:09,30.4,29.4,29.7,30.6,29.2,25.5,0,0
259,03/06/2021,14:22:09,30.3,29.2,29.5,30.5,29.1,25.5,0,0
260,03/06/2021,14:23:09,30.2,29.2,29.5,30.4,29,25.4,0,0
261,03/06/2021,14:24:09,30.2,29.2,29.5,30.5,29,25.5,0,0
262,03/06/2021,14:25:09,30.4,29.3,29.7,31,29.2,25.5,0,0
263,03/06/2021,14:26:09,30.5,29.4,29.9,31.1,29.4,25.5,0,0
264,03/06/2021,14:27:09,30.6,29.6,30,31.3,29.5,25.5,0,0
265,03/06/2021,14:28:09,30.6,29.5,30,31.3,29.6,25.5,0,0
266,03/06/2021,14:29:09,30.5,29.4,29.9,31.1,29.5,25.4,0,0
267,03/06/2021,14:30:09,30.5,29.5,29.9,31.1,29.4,25.5,0,0
268,03/06/2021,14:31:09,30.5,29.5,29.9,31.1,29.4,25.5,0,0
269,03/06/2021,14:32:09,30.5,29.5,29.9,31.1,29.4,25.5,0,0
270,03/06/2021,14:33:09,30.5,29.4,29.9,31.1,29.4,25.5,0,0
271,03/06/2021,14:34:09,30.5,29.5,29.9,31.2,29.5,25.5,0,0
272,03/06/2021,14:35:09,30.6,29.5,30,31.3,29.5,25.5,0,0
273,03/06/2021,14:36:09,30.6,29.5,30,31.2,29.5,25.5,0,0
274,03/06/2021,14:37:09,30.5,29.5,30,31.2,29.6,25.6,0,0
275,03/06/2021,14:38:09,30.5,29.5,29.9,31.2,29.6,25.5,0,0
276,03/06/2021,14:39:09,30.5,29.5,29.9,31.1,29.5,25.5,0,0
277,03/06/2021,14:40:09,30.5,29.4,29.9,31.1,29.4,25.5,0,0
278,03/06/2021,14:41:09,30.5,29.5,29.8,31.1,29.4,25.5,0,0
279,03/06/2021,14:42:09,30.4,29.4,29.8,31.1,29.4,25.4,0,0
280,03/06/2021,14:43:09,30.4,29.4,29.9,31.1,29.5,25.5,0,0
281,03/06/2021,14:44:09,30.5,29.5,29.9,31.2,29.4,25.5,0,0
282,03/06/2021,14:45:09,30.5,29.4,29.9,31.2,29.4,25.5,0,0
283,03/06/2021,14:46:09,30.4,29.4,29.8,30.7,29.2,25.5,0,0
284,03/06/2021,14:47:09,30.3,29.3,29.6,30.5,29,25.5,0,0
285,03/06/2021,14:48:09,30.2,29.2,29.5,30.4,28.9,25.5,0,0
286,03/06/2021,14:49:09,30.3,29.1,29.5,30.5,28.9,25.5,0,0
287,03/06/2021,14:50:09,30.4,29.4,29.7,31,29.3,25.6,0,0
288,03/06/2021,14:51:09,30.5,29.5,29.9,31.2,29.5,25.6,0,0
289,03/06/2021,14:52:09,30.6,29.5,30,31.2,29.6,25.5,0,0
290,03/06/2021,14:53:09,30.6,29.6,30,31.3,29.5,25.6,0,0
291,03/06/2021,14:54:09,30.6,29.6,30,31.3,29.6,25.5,0,0
292,03/06/2021,14:55:09,30.6,29.5,30,31.2,29.5,25.5,0,0
293,03/06/2021,14:56:09,30.5,29.5,29.8,30.7,29.2,25.5,0,0
294,03/06/2021,14:57:09,30.4,29.3,29.7,30.6,29.2,25.6,0,0
295,03/06/2021,14:58:09,30.3,29.3,29.6,30.5,29.1,25.5,0,0
296,03/06/2021,14:59:09,30.4,29.3,29.7,30.8,29.1,25.5,0,0
297,03/06/2021,15:00:09,30.6,29.5,30,31.3,29.5,25.5,0,0
298,03/06/2021,15:01:09,30.7,29.7,30,31.4,29.6,25.5,0,0
299,03/06/2021,15:02:09,30.7,29.7,30.1,31.3,29.6,25.6,0,0
300,03/06/2021,15:03:09,30.7,29.7,30,31.4,29.6,25.6,0,0
301,03/06/2021,15:04:09,30.6,29.6,30,30.9,29.4,25.6,0,0
302,03/06/2021,15:05:09,30.4,29.4,29.7,30.6,29.1,25.5,0,0
303,03/06/2021,15:06:09,30.3,29.3,29.6,30.5,29,25.6,0,0
304,03/06/2021,15:07:09,30.3,29.2,29.6,30.5,29.1,25.5,0,0
305,03/06/2021,15:08:09,30.6,29.5,29.9,31.2,29.4,25.6,0,0
306,03/06/2021,15:09:09,30.6,29.6,30,31.5,29.7,25.5,0,0
307,03/06/2021,15:10:09,30.6,29.6,30,31.4,29.6,25.5,0,0
308,03/06/2021,15:11:09,30.6,29.6,30,31.3,29.6,25.6,0,0
309,03/06/2021,15:12:09,30.6,29.6,30,31.3,29.5,25.5,0,0
310,03/06/2021,15:13:09,30.5,29.4,29.8,30.7,29.2,25.5,0,0
311,03/06/2021,15:14:09,30.3,29.3,29.6,30.5,29.1,25.5,0,0
312,03/06/2021,15:15:09,30.3,29.3,29.6,30.5,29,25.5,0,0
313,03/06/2021,15:16:09,30.2,29.2,29.6,30.7,29,25.5,0,0
314,03/06/2021,15:17:09,30.5,29.5,29.9,31.1,29.4,25.5,0,0
315,03/06/2021,15:18:09,30.6,29.5,29.9,31.2,29.5,25.5,0,0
316,03/06/2021,15:19:09,30.6,29.6,30,31.3,29.6,25.6,0,0
317,03/06/2021,15:20:09,30.6,29.6,30,31.3,29.6,25.5,0,0
318,03/06/2021,15:21:09,30.6,29.6,30,31.4,29.6,25.5,0,0
319,03/06/2021,15:22:09,30.6,29.6,30,31.3,29.5,25.5,0,0
320,03/06/2021,15:23:09,30.7,29.6,30,31.2,29.5,25.5,0,0
321,03/06/2021,15:24:09,30.4,29.4,29.7,30.6,29.2,25.5,0,0
322,03/06/2021,15:25:09,30.2,29.2,29.5,30.5,29,25.5,0,0
323,03/06/2021,15:26:09,30.2,29.2,29.5,30.4,29.1,25.5,0,0
